1 1 5.1172570352614910E-001 9.2218331106251039E-001 7.1778462835333945E-001 4.7995372059455178E-002
1 2 7.8996991748403922E-001 1.4662224166953661E+000 1.0733977428055397E+000 7.8838527639811376E-002
1 3 1.1765872237374226E+000 1.6647154476544765E+000 1.4109046071048512E+000 3.3896863538451366E-002
1 4 1.0209134923791769E+000 2.0829175229781414E+000 1.7259360599453670E+000 1.0844777031405339E-001
1 5 9.8999169234286616E-002 1.2708619723800476E+000 5.2327310791797144E-001 1.1596344658879031E-001
1 6 1.8889715574211101E-004 1.5367946417335990E-001 1.0122931106671132E-002 7.2330036415794163E-003
1 7 3.1046892630494597E-002 1.4898459819054832E-001 7.4003844583634487E-002 1.1738588419249494E-002
1 8 9.2923968200290266E-002 3.8640510519511212E-001 2.0584920682260732E-001 3.1248898079758336E-002
1 9 4.3273114949051398E-003 3.4543435641580397E-002 1.4357328461382535E-002 2.8631542295520680E-003
1 10 5.7627008118711721E-002 2.4125161312412935E-001 1.2830082831500247E-001 2.0049789347671845E-002
1 11 1.2710427913042001E-002 6.5292055723157619E-002 3.1472341663725679E-002 6.0520642213515562E-003
1 12 2.1534195228229212E-002 1.1079295519429593E-001 5.3497283288641416E-002 8.7843913704243794E-003
1 13 6.5091001073468116E-002 2.8881933133543958E-001 1.4962480656733529E-001 2.3517902845766211E-002
1 14 2.8178610467316919E-003 2.4750955074643994E-002 9.8717164432379004E-003 2.0553948524793019E-003
1 15 4.0080964650027126E-002 1.7912295795606162E-001 9.2595277235858822E-002 1.4973510013685486E-002
1 16 8.4044200237436435E-003 4.6194084243214736E-002 2.1563634585666642E-002 4.3096810888978918E-003
1 17 6.0890698235081687E-003 4.0705177800635178E-002 1.7673923336970012E-002 3.3002176460070016E-003
1 18 1.8945450930739516E-002 1.0843848773657729E-001 5.0325314708223969E-002 9.0425976645965890E-003
1 19 1.1418244010104594E-002 6.5682692396711942E-002 3.0402861854427407E-002 5.5874834797009299E-003
1 20 2.0136950789487683E-003 1.4166590328287001E-002 5.8410305663590938E-003 1.3191047379319052E-003
1 21 1.6039679501056212E+000 4.9947730493479909E+000 3.0020408757492048E+000 3.7419142380373721E-001
1 22 1.4463664913048861E+000 4.6380344955438737E+000 2.7527632033674450E+000 3.5449904150029649E-001
1 23 8.0167519999503767E-001 2.4971760888070209E+000 1.5009296852087550E+000 1.8709026239639789E-001
1 24 6.4398685428680946E-001 2.1406077011920397E+000 1.2518969360145702E+000 1.6740997918190265E-001
1 25 2.4982220627178059E-001 7.9668709197935128E-001 4.7575851943497011E-001 5.9184299304044487E-002
1 26 1.1002116429729647E-001 4.4838361841500146E-001 2.3983901503661545E-001 3.9237574122762478E-002
1 27 1.2308912330928572E+000 3.9661407673514377E+000 2.3490110860746110E+000 2.9794278004974611E-001
1 28 1.1028328867114021E+000 3.6615899315796900E+000 2.1406931147841077E+000 2.8059710830074669E-001
1 29 6.1520601055002011E-001 1.9828879849668906E+000 1.1744197745763514E+000 1.4896568810307961E-001
1 30 4.8711309129561930E-001 1.6785080919771920E+000 9.6632416364488150E-001 1.3163333401919594E-001
1 31 1.9177834201859997E-001 6.3581150478595128E-001 3.7366259882860065E-001 4.7407150265291506E-002
1 32 7.9192794732475133E-002 3.3888952410927431E-001 1.7718611798737424E-001 2.9824792221128126E-002
1 33 5.0268663206581699E-001 1.8501963285538181E+000 1.0346037564033506E+000 1.4084829324100520E-001
1 34 4.4058880369562853E-001 1.6727624444713514E+000 9.2309109507456832E-001 1.2958267182021213E-001
1 35 2.5127856186376385E-001 9.2500276068167120E-001 5.1722996094470064E-001 7.0419338273609106E-002
1 36 1.8938429683774188E-001 7.4772883323482275E-001 4.0587785957512457E-001 5.9168789858639860E-002
1 37 7.8137156111732969E-002 3.0243619144455697E-001 1.6682085580771422E-001 2.2995457112118502E-002
1 38 2.5775194018802253E-002 1.3053100841886514E-001 6.2886105527904759E-002 1.1564409015034959E-002
